Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2
2023-11-21 15:47:10.853, zfkd_, 10, 0.23333333330000006, [Age], [Age], [Age], [Age], [Age], [Age], 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:11.14, zfkd_, 10, 0.23333333330000006, [Age], [Age], [Age], [Age], [Age], [Age], 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:11.157, zfkd_, 10, 0.23333333330000006, [Age], [Age], [Age], [Age], [Age], [Age], 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:11.185, zfkd_, 10, 0.23333333330000006, [Age], [Age], [Age], [Age], [Age], [Age], 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:11.291, zfkd_, 10, 0.23333333330000006, [Age], [Age], [Age], [Age], [Age], [Age], 0.3, 0.25, 0.3333333333333333, 3, 4, 3, 10, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:11.667, zfkd_, 100, 0.1272549019, [Age], [Age], [Age], [Age], [Age], [Age], 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:11.829, zfkd_, 100, 0.1272549019, [Age], [Age], [Age], [Age], [Age], [Age], 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:11.865, zfkd_, 100, 0.1272549019, [Age], [Age], [Age], [Age], [Age], [Age], 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:11.974, zfkd_, 100, 0.1272549019, [Age], [Age], [Age], [Age], [Age], [Age], 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.0, zfkd_, 100, 0.1272549019, [Age], [Age], [Age], [Age], [Age], [Age], 0.12903225806451613, 0.05555555555555555, 0.3333333333333333, 7, 18, 12, 100, 7, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.165, zfkd_, 1000, 0.016999999999999904, [Age], [Age], [Age], [Age], [Age], [Age], 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.338, zfkd_, 1000, 0.016999999999999904, [Age], [Age], [Age], [Age], [Age], [Age], 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.367, zfkd_, 1000, 0.016999999999999904, [Age], [Age], [Age], [Age], [Age], [Age], 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.393, zfkd_, 1000, 0.016999999999999904, [Age], [Age], [Age], [Age], [Age], [Age], 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.422, zfkd_, 1000, 0.016999999999999904, [Age], [Age], [Age], [Age], [Age], [Age], 0.07222787385554424, 0.027777777777777776, 0.3333333333333333, 13, 36, 71, 1000, 17, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.534, zfkd_, 5000, 0.0012000000000000899, [Age], [Age], [Age], [Age], [Age], [Age], 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.578, zfkd_, 5000, 0.0012000000000000899, [Age], [Age], [Age], [Age], [Age], [Age], 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.613, zfkd_, 5000, 0.0012000000000000899, [Age], [Age], [Age], [Age], [Age], [Age], 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.634, zfkd_, 5000, 0.0012000000000000899, [Age], [Age], [Age], [Age], [Age], [Age], 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
